,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
0,追风筝的人,29,"[美] 卡勒德·胡赛尼 , 李继宏 ", 2006-5 , 上海人民出版社 ,8.9,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...,441478,https://book.douban.com/subject/1770782/
1,活着,20,余华 , 2012-8-1 , 作家出版社 ,9.3,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...,225873,https://book.douban.com/subject/4913064/
2,围城,19,钱锺书 , 1991-2 , 人民文学出版社 ,8.9,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...,265048,https://book.douban.com/subject/1008145/
3,百年孤独,39,"[哥伦比亚] 加西亚·马尔克斯 , 范晔 ", 2011-6 , 南海出版公司 ,9.2,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...,194186,https://book.douban.com/subject/6082808/
4,小王子,22,"[法] 圣埃克苏佩里 , 马振聘 ", 2003-8 , 人民文学出版社 ,9.0,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行...,363933,https://book.douban.com/subject/1084336/
5,平凡的世界（全三部）,64,路遥 , 2005-1 , 人民文学出版社 ,9.0,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广...,160730,https://book.douban.com/subject/1200840/
6,解忧杂货店,39,"[日] 东野圭吾 , 李盈春 ", 2014-5 , 南海出版公司 ,8.5,现代人内心流失的东西，这家杂货店能帮你找回——僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。因男友身患绝...,428649,https://book.douban.com/subject/25862578/
7,撒哈拉的故事,160,三毛 , 1976 , 皇冠出版社 ,9.0,三毛作品中最膾炙人口的《撒哈拉的故事》﹐由１２篇精采動人的散文結合而成﹐其中＜沙漠中的飯店＞﹐是三毛適應荒涼單調的沙漠生活後﹐重新拾筆的第一篇文字﹐...,114573,https://book.douban.com/subject/1361264/
8,月亮与六便士,39,"[英] 威廉·萨默塞特·毛姆 , 徐淳刚 ", 2017-1-1 , 浙江文艺出版社 ,8.8,“满地都是六便士，他却抬头看见了月亮。”银行家查尔斯，人到中年，事业有成，为了追求内心隐秘的绘画梦想，突然抛妻别子，弃家出走。他深知：人的每一种身份都是一...,58876,https://book.douban.com/subject/26954760/
9,人间失格,16,"太宰治 , 许时嘉 ", 2009年9月 , 吉林出版集团有限责任公司 ,8.3,《人间失格》是日本著名小说家太宰治最具影响力的小说作品，同时也是糸色望（注：动漫《再见！绝望先生》的主角）老师日常生活必备的读物之一。另外在日本轻小说《文学...,103726,https://book.douban.com/subject/4011670/
10,霍乱时期的爱情,39,"[哥伦比亚] 加西亚·马尔克斯 , 杨玲 ", 2012-9-1 , 南海出版公司 ,9.0,★马尔克斯唯一正式授权，首次完整翻译★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯★这部光芒闪耀、令人心碎的作品是人类有史...,113613,https://book.douban.com/subject/10594787/
11,许三观卖血记,16,余华 , 1998-9 , 南海出版公司 ,8.7,《许三观卖血记》是余华1995年创作的一部长篇小说，它以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述了许三观靠着卖...,113723,https://book.douban.com/subject/1029791/
12,边城,12,沈从文、黄永玉 卓雅 插图. , 2002-4 , 北岳文艺出版社 ,8.6,《边城》是沈从文的代表作，写于一九三三年至一九三四年初。这篇作品如沈从文的其他湘西作品，着眼于普通人、善良人的命运变迁，描摹了湘女翠翠阴差阳错的生活悲剧，诚...,114793,https://book.douban.com/subject/1057244/
13,红楼梦,59,[清] 曹雪芹 著、高鹗 续 , 1996-12 , 人民文学出版社 ,9.6,《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主...,184357,https://book.douban.com/subject/1007305/
14,房思琪的初恋乐园,45,林奕含 , 2018-1 , 北京联合出版公司 ,9.2,令人心碎却无能为力的真实故事。向死而生的文学绝唱  打动万千读者的年度华语小说。李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作...,75718,https://book.douban.com/subject/27614904/
15,NULL,23,刘慈欣 , 2008-1 , 重庆出版社 ,8.8,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的...,262073,https://book.douban.com/subject/2567698/
16,不能承受的生命之轻,23,"[捷克] 米兰·昆德拉 , 许钧 ", 2003-7 , 上海译文出版社 ,8.5,《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小...,167729,https://book.douban.com/subject/1017143/
17,我们仨,18,杨绛 , 2003-7 , 生活·读书·新知三联书店 ,8.7,《我们仨》是钱钟书夫人杨绛撰写的家庭生活回忆录。1998年，钱钟书逝世，而他和杨绛唯一的女儿钱瑗已于此前（1997年）先他们而去。在人生的伴侣离去四年后，杨...,146133,https://book.douban.com/subject/1023045/
18,白夜行,29,"[日] 东野圭吾 , 刘姿君 ", 2008-9 , 南海出版公司 ,9.1,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海...,317045,https://book.douban.com/subject/3259440/
19,1984,28,"[英] 乔治·奥威尔 , 刘绍铭 ", 2010-4-1 , 北京十月文艺出版社 ,9.3,★村上春树以《1Q84》向本书致敬★著名学者刘绍铭经典译本内地首次出版★62种文字风靡110个国家，全球销量超过5000万册★《时代周刊》“最好的10...,83019,https://book.douban.com/subject/4820710/
20,局外人,22,"[法] 阿尔贝·加缪 , 柳鸣九 ", 2010-8 , 上海译文出版社 ,9.0,《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和...,69280,https://book.douban.com/subject/4908885/
21,白鹿原,28,陈忠实 , 1997-12 , 人民文学出版社 ,8.7,这是一部渭河平原五十年变迁的雄奇史诗，一轴中国农村班斓多彩、触目惊心的长幅画卷。主人公六娶六丧，神秘的序曲预示着不祥。一个家族两代子孙，为争夺白鹿原的统治代...,72047,https://book.douban.com/subject/1085799/
22,挪威的森林,18,"[日] 村上春树 , 林少华 ", 2001-2 , 上海译文出版社 ,8.0,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，...,247974,https://book.douban.com/subject/1046265/
23,NULL,16,林海音 文、关维兴 图 , 2003-7 , 中国青年出版社 ,9.0,多少年来，《城南旧事》感动了一代又一代的读者，除了再版无数次的小说版外，1985年，本书在中国大陆搬上银幕，电影“城南旧事”获得“中国电影金鸡奖”、第二届“...,49738,https://book.douban.com/subject/1254588/
24,了不起的盖茨比,12,"菲茨杰拉德 , 姚乃强 ", 2004-06 , 人民文学出版社 ,8.3,盖茨比为了久久地抱着的一个梦而付出了很高的代价。他死后，尼克发觉是汤姆暗中挑拨威尔逊去杀死盖茨比。他感到东部鬼影幢幢，世态炎凉，便决定回中西部老家去。这是一...,67440,https://book.douban.com/subject/1008988/
25,倾城之恋,11,NULL, 1997-3-1 ,花城出版社 ,8.5,一对现实庸俗的男女，在战争的兵荒马乱之中被命运掷骰子般地掷到了一起，于“一刹那”体会到了“一对平凡的夫妻”之间的“一点真心”⋯⋯张爱玲是作为中国现代文学史上...,116451,https://book.douban.com/subject/1090043/
26,NULL,19,王小波 , 1999-3 , 花城出版社 ,8.8,《黄金时代》是《时代三部曲》之一。  这是以文革时期为背景的系列作品构成的长篇。发生“文化大革命”的二十世纪六七十年代，正是我们国家和民族的灾难年代。那时，...,88096,https://book.douban.com/subject/1089243/
27,NULL,28,刘慈欣 , 2008-11 , 湖北长江出版集团，长江文艺出版社 ,8.6,此书为刘慈欣获中国科幻银河奖的中短篇科幻小说作品集，收录有《流浪地球》《乡村教师》《全频带阻塞干扰》等获奖佳作。,39226,https://book.douban.com/subject/3266609/
28,骆驼祥子,12,老舍 , 2000-3-1 , 人民文学出版社 ,8.3,《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当...,74964,https://book.douban.com/subject/1043815/
29,老人与海,8,"海明威 , 吴劳 ", 1999-10 , 上海译文出版社 ,8.4,本书讲述了一个渔夫的故事。古巴老渔夫圣地亚哥在连续八十四天没捕到鱼的情况下，终于独自钓上了一条大马林鱼，但这鱼实在大，把他的小船在海上拖了三天才筋疲力尽，被...,94394,https://book.douban.com/subject/1064275/
30,NULL,27,王小波 , 1997-10 , 中国青年出版社 ,9.1,这本杂文随笔集包括思想文化方面的文章，涉及知识分子的处境及思考，社会道德伦理，文化论争，国学与新儒家，民族主义等问题；包括从日常生活中发掘出来的各种真知灼见...,65805,https://book.douban.com/subject/1054685/
31,傲慢与偏见,13,"[英] 奥斯丁 , 张玲、张扬 ", 1993-7 , 人民文学出版社 ,8.8,《傲慢与偏见》是简·奥斯汀的代表作，是一部描写爱情与婚姻的经典小说。作品以男女主人公达西和伊丽莎白由于傲慢和偏见而产生的爱情纠葛为线索，共写了四起姻缘：伊丽...,126217,https://book.douban.com/subject/1083428/
32,目送,39,龙应台 , 2009-10 , 生活·读书·新知三联书店 ,8.7,目送共由七十四篇散文组成，是为一本极具亲情、感人至深的文集。由父亲的逝世、母亲的苍老、儿子的离开、朋友的牵挂、兄弟的携手共行，写出失败和脆弱、失落和放手，写...,127456,https://book.douban.com/subject/3995526/
33,皮囊,39,蔡崇达 , 2014-12-1 , 天津人民出版社 ,7.6,一部有着小说阅读质感的散文集，也是一本“认心又认人”的书。作者蔡崇达，本着对故乡亲人的情感，用一种客观、细致、冷静的方式，讲述了一系列刻在骨肉间故事。一个...,63206,https://book.douban.com/subject/26278687/
34,一个陌生女人的来信,20,"[奥] 斯台芬·茨威格 , 张玉书 ", 2007-7 , 上海译文出版社 ,8.7,这是一部短篇小说集，除《一个陌生女人的来信》，亦按时间顺序收录了《火烧火燎的秘密》、《马来狂人》等名篇，作者的创作历程一目了然。《一个陌生女人的来信》讲述...,70829,https://book.douban.com/subject/2154960/
35,NULL,38,刘慈欣 , 2010-11 , 重庆出版社 ,9.2,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生...,152842,https://book.douban.com/subject/5363767/
36,朝花夕拾,0,鲁迅 , 1972年4月 , 人民文学出版社 ,8.7,《小引》《狗·猫·鼠》《阿长与山海经》《二十四孝图》《五猖会》《无常》《从百草园到三味书屋》《父亲的病》《琐记》《藤野先生》《范爱农》...,44064,https://book.douban.com/subject/1449352/
37,穆斯林的葬礼,32,霍达 , 1988-12-1 , 北京十月文艺出版社 ,8.1,一个穆斯林家族，六十年间的兴衰，三代人命运的沉浮，两个发生在不同时代、有着不同内容却又交错扭结的爱情悲剧。这部五十余万字的长篇，以独特的视角，真挚的情感，...,105901,https://book.douban.com/subject/1082334/
38,瓦尔登湖,11,"[美] 梭罗 , 徐迟 ", 2006-8 , 上海译文出版社 ,8.4,这本书的思想是崇尚简朴生活，热爱大自然的风光，内容丰厚，意义深远，语言生动，意境深邃，就像是个智慧的老人，闪现哲理灵光，又有高山流水那样的境界。书中记录了...,35096,https://book.douban.com/subject/1865089/
39,巴黎圣母院,22,"[法]雨果 , 陈敬容 ", 1982-6 , 人民文学出版社 ,8.3,《巴黎圣母院》是法国文豪维克多·雨果第一部引起轰动效应的浪漫派小说。小说以十五世纪路易十一统治下的法国为背景，通过一个纯洁无辜的波希米亚女郎惨遭迫害的故事，...,63318,https://book.douban.com/subject/1024197/
40,围城,39,钱钟书 , 1991-2-1 , 人民文学出版社 ,9.3,《围城》是一幅栩栩如生的世井百态图，人生的酸甜苦辣千般滋味均在其中得到了淋漓尽致的体现。钱钟书先生将自己的语言天才并入极其渊博的知识，再添加上一些讽刺主义的...,24843,https://book.douban.com/subject/11524204/
41,呐喊,0,鲁迅 , 1973年3月 , 人民文学出版社 ,8.9,《呐喊》收录作者1918年至1922年所作小说十四篇。1923年8月由北京新潮社出版，原收十五篇，列为该社《文艺丛书》之一。1924年5月第三次印刷时起，改...,57188,https://book.douban.com/subject/1449351/
42,人生,20,路遥 , 2009-5 , 北京十月文艺出版社 ,8.4,《人生》是路遥的一部中篇小说，发表于1982年，它以改革时期陕北高原的城乡生活为时空背景，叙述了高中毕业生高加林回到土地又离开土地，再回到土地这样人生的变化...,30896,https://book.douban.com/subject/3803820/
43,浮生六记,5,（清）沈复 , 1999-1 , 人民文学出版社 ,8.9,这是一部自传体文学的作品，原书六卷，已逸其二，现仅存四卷（有所谓“足本”者，后二记系伪作。书中记叙了作者夫妇间平凡的家居生活，坎坷际遇，和各地浪游闻见。文辞...,29565,https://book.douban.com/subject/1088581/
44,嫌疑人X的献身,28,"[日] 东野圭吾 , 刘子倩 ", 2008-9 , 南海出版公司 ,8.9,百年一遇的数学天才石神，每天唯一的乐趣，便是去固定的便当店买午餐，只为看一眼在便当店做事的邻居靖子。靖子与女儿相依为命，失手杀了前来纠缠的前夫。石神提出由...,260075,https://book.douban.com/subject/3211779/
45,四个春天,49,陆庆屹 , 2019-1-1 , 南海出版公司 ,8.3,《四个春天》是陆庆屹首部文字作品，文字质朴动人，摄影温暖治愈。24篇优美散文，展现了一对相濡以沫半个多世纪、多才多艺、幽默达观的老夫妇；塑造了众多性格鲜明、...,2343,https://book.douban.com/subject/30389935/
46,岛上书店,35,"[美] 加·泽文 , 孙仲旭、李玉瑶 ", 2015-5-1 , 江苏凤凰文艺出版社 ,7.6,岛上书店是间维多利亚风格的小屋，门廊上挂着褪色的招牌，上面写着： 没有谁是一座孤岛，每本书都是一个世界 A．J．费克里，人近中年，在一座与世隔绝的小岛上，经...,100676,https://book.douban.com/subject/26340138/
47,NULL,85,"[英]林德尔·戈登 , 许小凡 ", 2019-1 , 上海文艺出版社 ,9.4,"T.S.艾略特，1948年诺贝尔文学奖得主，一个比起成为诗人更想成为圣徒的人；却因为无法成圣，而成了伟大的诗人。他总是言说那些""不被言说的""，在公众面具保...",256,https://book.douban.com/subject/30331839/
48,鲁滨逊漂流记,9,"[英] 笛福 , 马静 ", 2002-1 , 广西民族出版社 ,8.0,《鲁滨逊飘流记》是18世纪英国作家达尼尔·笛福的代表作品，也是一部具有广泛的世界性影响的作品。小说以1704年一名苏格兰水手亚历山大·薛里基洛克航海遇险，...,85301,https://book.douban.com/subject/1016003/
49,NULL,98,木心 讲述、陈丹青 笔录 , 2013-1-10 , 广西师范大学出版社 ,9.2,文学是可爱的。生活是好玩的。艺术是要有所牺牲的。八十年代末，木心客居纽约时期，亦自他恢复写作、持续出书以来，纽约地面的大陆和台湾同行在异国谋饭之中，居然促...,25288,https://book.douban.com/subject/20440644/
50,4321,148,"[美] 保罗·奥斯特 , 李鹏程 ", 2019-1 , 理想国丨九州出版社 ,8.7,四重人生变奏，一个辉煌构想。美国当代小说大师保罗·奥斯特迄今最具雄心超级长篇。如果人生不止一生。.《纽约时报》•《洛杉矶时报》•《波士顿环球报》•《...,729,https://book.douban.com/subject/30254236/
51,阿Q正传,14,鲁迅 著、丰子恺 绘 , 2003-7 , 上海书店出版社 ,8.7,《阿Q正传》讲述值此世纪末，衷心祈愿这里所议论的人物在下一世纪的中国现实生活中淡出；当然，作为光辉的典型人物，他将和哈姆雷特、唐·吉诃德等不朽的名字一样万古...,49074,https://book.douban.com/subject/1088065/
52,牧羊少年奇幻之旅,25,"[巴西]保罗·柯艾略 , 丁文林 ", 2009-3-1 , 南海出版公司 ,8.6,牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间...,83819,https://book.douban.com/subject/3608208/
53,简爱（英文全本）,18,[英] 夏洛蒂·勃朗特 , 2003-11 , 世界图书出版公司 ,8.5,《简爱》是英国女作家夏洛蒂·勃朗特的代表作品。女主人公简爱是一个追赶求平等与自主的知识女性形象，小说以其感人的对于一位“灰姑娘式”人物奋斗史的刻划取胜，《简...,140033,https://book.douban.com/subject/1141406/
54,红玫瑰与白玫瑰,12,张爱玲 , 1996-06 , 花城出版社 ,8.4,"“也许每一个男子全都有过这样的两个女人，至少两个。娶了红玫瑰，久而久之，红的变了墙上的一抹蚊子血，白的还是""床前明月光""；娶了白玫瑰，白的便是衣服上沾的一粒...",57827,https://book.douban.com/subject/1014278/
55,云边有个小卖部,42,张嘉佳 , 2018-7 , 湖南文艺出版社 ,7.9,云边镇少年刘十三的成长故事。刘十三自幼与开小卖部的外婆相依为命，努力读书为了离开小镇，追寻远方与梦想。在城市里碰壁受挫的刘十三回到了小镇，与少时玩伴程霜重...,11074,https://book.douban.com/subject/30254298/
56,梦里花落知多少,28,三毛 , 2007-6 , 北京十月文艺出版社 ,8.8,《梦里花落知多少》记录了荷西过世后三毛的生活，共23篇。内容均为台湾皇冠出版社81年至88年的初版。荷西的死对三毛又是一场劫难，因此由《背影》到这本书，在...,46827,https://book.douban.com/subject/2070844/
57,NULL,14,今何在 , 2001-4 , 光明日报出版社 ,8.3,猪八戒和孙悟空虽然都神通广大，但在命运面前终究是软弱无力的小人物。顶天立地的美猴王实际上仍然是那个充满惊恐的小猴子，而决心与命运抗争的天蓬若非紧急也终究不肯...,86946,https://book.douban.com/subject/1003000/
58,NULL,25,史铁生 , 2002-5 , 春风文艺出版社 ,9.0,收有“午餐半小时”、“我的遥远的清平湾”、“命若琴弦”、“第一人称”、“两个故事”等15篇史铁生的代表作。,31864,https://book.douban.com/subject/1209899/
59,三国演义（全二册）,39,[明] 罗贯中 , 1998-05 , 人民文学出版社 ,9.2,《三国演义》又名《三国志演义》、《三国志通俗演义》，是我国小说史上最著名最杰出的长篇章回体历史小说。 《三国演义》的作者是元末明初人罗贯中，由毛纶，毛宗岗父...,79484,https://book.douban.com/subject/1019568/
60,NULL,24,当年明月 , 2006-9 , 中国友谊出版公司 ,8.7,从朱元璋的出身开始写起，到永乐大帝夺位的靖难之役结束为止。叙述了明朝最艰苦卓绝的开国过程。朱元璋pk陈友谅，谁堪问鼎天下？战太平、太湖大决战。卧榻之侧埋恶虎...,127334,https://book.douban.com/subject/1873231/
61,飘,40,"[美国] 玛格丽特·米切尔 , 李美华 ", 2000-9 , 译林出版社 ,9.3,小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环...,108988,https://book.douban.com/subject/1068920/
62,NULL,62,"[意] 埃莱娜·费兰特 , 陈英 ", 2018-7 , 99读书人|人民文学出版社 ,9.2,“我的整个生命，只是一场为了提升社会地位的低俗斗争。”全球畅销近千万册被翻译成40多种语言《我的天才女友》《新名字的故事》《离开的，留下的》——那不勒...,15098,https://book.douban.com/subject/30172069/
63,NULL,32,刘慈欣 , 2008-5 , 重庆出版社 ,9.3,三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。面对前所未有的危局，经历过无数磨难的地球人组建起同样...,154841,https://book.douban.com/subject/3066477/
64,白夜行,39,"东野圭吾 , 刘姿君 ", 2013-1-1 , 南海出版公司 ,9.2,东野圭吾万千书迷心中的无冕之王周刊文春推理小说年度BEST10第1名本格推理小说年度BEST10第2名《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备...,157060,https://book.douban.com/subject/10554308/
65,人间词话,9,王国维 , 1998-12-01 , 上海古籍出版社 ,9.0,《人间词话》一书乃是王氏接受了西洋美学思想之洗礼后，以崭新的眼光对中国旧文学所作的评论，具有划时代的意义，向来极受学术界重视。本书并约请当今著名专家黄霖为之...,24861,https://book.douban.com/subject/1203426/
66,狼图腾,32,姜戎 , 2004-4 , 长江文艺出版社 ,8.2,《狼图腾》由几十个有机连贯的“狼故事”组成，情节紧张激烈而又新奇神秘。读者可从书中每一篇章、每个细节中攫取强烈的阅读快感，令人欲罢不能。那些精灵一般的蒙古草...,110308,https://book.douban.com/subject/1022060/
67,雷雨,9,曹禺 , 1999-05 , 人民文学出版社 ,8.6,《雷雨》所展示的是一幕人生大悲剧，是命运对人残忍的作弄。专制、伪善的家长，热情、单纯的青年，被情爱烧疯了心的魅惑的女人，痛悔着罪孽却又不自知地犯下更大罪孽的...,36482,https://book.douban.com/subject/1013416/
68,挪威的森林,23,"[日] 村上春树 , 林少华 ", 2007-7 , 上海译文出版社 ,8.5,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，...,68459,https://book.douban.com/subject/2159042/
69,NULL,19,萧红 , 2005-01 , 百花文艺出版社 ,8.9,NULL,32156,https://book.douban.com/subject/1060852/
70,平凡的世界,79,路遥 , 2012-3-1 ," 北京出版集团公司,北京十月文艺出版社 ",9.0,《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人...,24451,https://book.douban.com/subject/10517238/
71,冬泳,49,班宇 , 2018-11 , 理想国丨上海三联书店 ,8.3,班宇（@坦克手贝吉塔）短篇力作首度成集      阿乙•蒋方舟•李诞•谈波 齐声推荐《冬泳》收录了班宇的七篇小说。在铁轨、工事与大雪的边缘，游走着一些昔日...,4580,https://book.douban.com/subject/30362170/
72,查令十字街84号,18,"[美] 海莲·汉芙 , 陈建铭 ", 2005-05-01 , 译林出版社 ,8.3,这本被全球人深深钟爱的书，记录了纽约女作家海莲和一家伦敦旧书店的书商弗兰克之间的书缘情缘。双方二十年间始终未曾谋面，相隔万里，深厚情意却能莫逆于心。无论是平...,40760,https://book.douban.com/subject/1316648/
73,一只特立独行的猪,18,王小波 , 2006-4 , 北方文艺出版社 ,8.8,这本书里除了文化杂文，还有给其他书写的序言与跋语。这些序言与跋语也表明了我的一些态度。除此之外，还有一些轻松的随笔。不管什么书，我都不希望它太严肃，这一本也...,45863,https://book.douban.com/subject/1767945/
74,NULL,55,"美国旧金山写作社、San Francisco Writers'Grotto , 徐阳 ", 2019-2 , 后浪丨四川文艺出版社 ,7.5,每个人都需要的创意笔记颠覆传统写作方式，怎么写都可以的减压利器！想表达，不知道如何下笔？想倾诉，找不到可靠的秘密“树洞”？大脑“宕机”时，焦虑悲伤时...,577,https://book.douban.com/subject/30408577/
75,人间失格,25,"太宰治 , 杨伟 ", 2015-8 , 作家出版社 ,8.2,收录《人间失格》《维庸之妻》《Good-bye》《灯笼》《满愿》《美男子与香烟》《皮肤与心》《蟋蟀》《樱桃》,20790,https://book.douban.com/subject/26647769/
76,窗边的小豆豆,20,"[日] 黑柳彻子 著、岩崎千弘 图 , 赵玉皎 ", 2003-1 , 南海出版公司 ,8.7,《窗边的小豆豆》讲述了作者上小学时的一段真实的故事。作者因淘气被原学校退学后，来到巴学园。在小林校长的爱护和引导下，让一般人眼里“怪怪”的小豆豆逐渐成了一个...,95693,https://book.douban.com/subject/1007914/
77,小偷家族,45,"[日] 是枝裕和 , 赵仲明 ", 2019-1 , 北京联合出版公司 ,8.6,★ 戛纳电影节金棕榈奖原著小说年度现象级文艺片，国内院线日本真人电影票房冠军豆瓣评分8.8，18万影迷热泪推荐！第71届戛纳电影节 (2018) 主竞...,4578,https://book.douban.com/subject/30374817/
78,情人,20,"[法] 玛格丽特·杜拉斯 , 王道乾 ", 2005-7 , 上海译文出版社 ,8.1,杜拉斯代表作之一，自传性质的小说，获一九八四年法国龚古尔文学奖。全书以法国殖民者在越南的生活为背景，描写贫穷的法国女孩与富有的中国少爷之间深沉而无望的爱情。...,110370,https://book.douban.com/subject/1400705/
79,无声告白,35,"[美] 伍绮诗 , 孙璐 ", 2015-7 , 江苏凤凰文艺出版社 ,8.2,我们终此一生，就是要摆脱他人的期待，找到真正的自己。——————————莉迪亚死了，可他们还不知道。莉迪亚是家中老二，李先生和李太太的掌上明珠，她遗传...,80980,https://book.douban.com/subject/26382433/
80,NULL,58,龙应台 , 2018-8-1 , 湖南文艺出版社 ,8.7,美君来自浙江。她二十岁爱上的男子，来自湖南。他们走过的路，是万里江山，满目烟尘；怀着“温情与敬意”，我感恩他们的江山、他们的烟尘，给了我天大地大、气象...,4921,https://book.douban.com/subject/30280610/
81,呼啸山庄,27,"（英）勃朗特、张玲、张扬 , 张扬、张玲 ", 1999-01-01 , 人民文学出版社 ,8.4,夏洛蒂和传记作者告诉我们，爱米丽生性独立、豁达、纯真、刚毅、热情而又内向。她颇有男儿气概，酷爱自己生长其间的荒原，平素在离群索居中，除去手足情谊，最喜与大自...,77938,https://book.douban.com/subject/1119522/
82,狂人日记,39,鲁迅 , 2006-3 , 京华出版社 ,8.7,《狂人日记》是鲁迅1918年发表的第一篇白话短篇小说，当时正值“五四”运动的前夜。由于辛亥革命的半途而废，特别是帝国主义侵略的加剧，使社会各种矛盾更加复杂尖...,33807,https://book.douban.com/subject/1398395/
83,杀死一只知更鸟,32,"[美] 哈珀·李 , 高红梅 ", 2012-9 , 译林出版社 ,9.2,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的...,38878,https://book.douban.com/subject/6781808/
84,刀锋,18,"[英]毛姆 , 周煦良 ", 2007-3 , 上海译文出版社 ,9.0,威廉·萨默塞特·毛姆（1874-1965），英国著名小说家、戏剧家。《刀锋》是他的主要作品之一。小说写一个参加第一次世界大战的美国青年飞行员拉里·达雷尔。...,39441,https://book.douban.com/subject/2035162/
85,半生缘,28,张爱玲 , 2006-12 , 北京十月文艺出版社 ,8.6,他和曼桢认识，已经是多年前的事了。算起来倒已经有十四年了——真吓人一跳！马上使他连带地觉得自己已老了许多。日子过得真快，尤其对于中年以后的人，十年八年都好像...,50703,https://book.douban.com/subject/1963684/
86,我们一无所有,49,"[美] 安东尼·马拉 , 施清真 ", 2018-2 , 江苏凤凰文艺出版社 ,8.8,一部堪比米兰·昆德拉《笑忘书》的伟大作品。──《纽约时报》大时代、小人物的命运悲歌横扫欧美各大书评人榜单的畅销书作家安东尼·马拉作品用厚重而文艺的...,2363,https://book.douban.com/subject/27193117/
