,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
237,美丽新世界,20,"[英] 阿道司·赫胥黎 , 王波 ", 2005-6 , 重庆出版社 ,8.6,《美丽新世界》是二十世纪最经典的反乌托邦文学之一。这部作品与乔治·奥威尔的《1984》、扎米亚京的《我们》并称为“反乌托邦”三书，在国内外思想界影响深远。...,16165,https://book.douban.com/subject/1321789/
238,球状闪电,22,刘慈欣 , 2005-6 , 四川科学技术出版社 ,8.7,在某个离奇的雨夜，一颗球状闪电闯进了少年的视野。它的啸叫低沉中透着尖利，像是一个鬼魂在太古的荒原上吹着埙。当鬼魂奏完乐曲，球状闪电在一瞬间将少年的父母化为灰...,37836,https://book.douban.com/subject/1192090/
239,NULL,10,王小波 , 1997-5 , 花城出版社 ,8.4,《白银时代》是《时代三部曲》之二。这是由一组虚拟时空的作品构成的长篇。这组作品写的是本世纪长大而活到下世纪的知识分子，在跨世纪的生存过程中，回忆他们的上辈、...,22244,https://book.douban.com/subject/1082150/
240,NULL,48,"[瑞典] 弗雷德里克·巴克曼 , 余小山 ", 2019-1 , 北京联合出版社 ,8.5,爷爷和诺亚坐在广场中一张长椅上，分享着对数学和数字的痴迷。每一天，回家路都变得越来越长，周围的一切也都变得越来越模糊。爷爷知道自己的回忆正渐渐流逝，他只能紧...,737,https://book.douban.com/subject/30415084/
241,查令十字街84号,35,"[美] 海莲·汉芙 , 陈建铭 ", 2016-5 , 译林出版社 ,8.1,纪念作者诞辰一百周年（1916.4.15-2016.4.15）中文世界首次推出精装珍藏版译者陈建铭修订数十处译文，精益求精读库御用设计师艾莉女士担纲设...,19176,https://book.douban.com/subject/26768309/
242,月亮和六便士,32,"[英] 毛姆 , 傅惟慈 ", 2009-10 , 上海译文出版社 ,9.1,一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够...,32648,https://book.douban.com/subject/4123116/
243,流浪地球,38,刘慈欣 , 2016-6 , 中国华侨出版社 ,8.3,科学家们发现太阳将膨胀为一颗巨大红星，期间地球表面上的一切将毁灭殆尽，于是他们计划建造能将地球发射到其他星球的巨大引擎，以保证人类长远生存。庞大的地球逃...,3987,https://book.douban.com/subject/26807573/
244,钢铁是怎样炼成的,20,"[苏] 尼·奥斯特洛夫斯基 , 曹缦西、王志棣 ", 1996-10 , 译林出版社 ,7.6,本书的主人公保尔·柯察金饱尝了生活的苦难，炼就了革命精神和反抗性格。十月革命爆发后只有十六岁的他，就参加了红军，无论在战炮火中，还是在国民经济复时期，可察金...,52119,https://book.douban.com/subject/1013502/
245,奥斯特利茨,68,"[德]温弗里德•塞巴尔德 , 刁承俊 ", 2019-3 , 广西师范大学出版社 ,9.4,◉内容简介人到底需要多少记忆？当孤身穿过时间，我们真正需要记住什么，面对什么？一个追寻真相的高贵灵魂，一幅奇异梦幻的记忆拼图，从威尔士到伦敦到布拉格...,134,https://book.douban.com/subject/30390667/
246,文学讲稿,68,"[美] 弗拉基米尔·纳博科夫 , 申慧辉 等 ", 2018-6 , 上海译文出版社 ,9.0,"""纳博科夫1950年代在康奈尔大学等高等学府讲授欧洲文学，其后以这些讲稿为基础整理编辑成《文学讲稿》（以及《俄罗斯文学讲稿》）出版。彼时正逢新批评理论在西方...",443,https://book.douban.com/subject/27091776/
